Year,Week,Crest,Colgate
1958,1,0.108,0.424
1958,2,0.166,0.482
1958,3,0.126,0.428
1958,4,0.115,0.397
1958,5,0.119,0.352
1958,6,0.176,0.342
1958,7,0.155,0.434
1958,8,0.118,0.445
1958,9,0.136,0.428
1958,10,0.137,0.395
1958,11,0.124,0.354
1958,12,0.131,0.497
1958,13,0.12,0.425
1958,14,0.133,0.401
1958,15,0.067,0.363
1958,16,0.086,0.341
1958,17,0.14,0.464
1958,18,0.122,0.431
1958,19,0.105,0.405
1958,20,0.079,0.46
1958,21,0.13,0.41
1958,22,0.142,0.423
1958,23,0.12,0.31
1958,24,0.115,0.413
1958,25,0.103,0.411
1958,26,0.078,0.452
1958,27,0.093,0.405
1958,28,0.086,0.29
1958,29,0.099,0.342
1958,30,0.078,0.311
1958,31,0.095,0.327
1958,32,0.094,0.413
1958,33,0.056,0.4
1958,34,0.05,0.38
1958,35,0.065,0.371
1958,36,0.091,0.344
1958,37,0.094,0.345
1958,38,0.124,0.363
1958,39,0.153,0.392
1958,40,0.078,0.379
1958,41,0.114,0.349
1958,42,0.088,0.337
1958,43,0.165,0.235
1958,44,0.16,0.25
1958,45,0.075,0.36
1958,46,0.118,0.282
1958,47,0.1,0.257
1958,48,0.102,0.345
1958,49,0.131,0.344
1958,50,0.148,0.358
1958,51,0.137,0.322
1958,52,0.09,0.332
1959,1,0.088,0.315
1959,2,0.172,0.316
1959,3,0.111,0.341
1959,4,0.097,0.387
1959,5,0.098,0.402
1959,6,0.09,0.347
1959,7,0.127,0.414
1959,8,0.116,0.426
1959,9,0.137,0.322
1959,10,0.111,0.372
1959,11,0.107,0.381
1959,12,0.097,0.339
1959,13,0.134,0.405
1959,14,0.16,0.304
1959,15,0.147,0.439
1959,16,0.104,0.336
1959,17,0.128,0.405
1959,18,0.128,0.359
1959,19,0.165,0.379
1959,20,0.184,0.303
1959,21,0.172,0.34
1959,22,0.207,0.312
1959,23,0.221,0.291
1959,24,0.159,0.259
1959,25,0.198,0.342
1959,26,0.197,0.458
1959,27,0.251,0.275
1959,28,0.146,0.34
1959,29,0.133,0.385
1959,30,0.243,0.338
1959,31,0.192,0.37
1959,32,0.15,0.29
1959,33,0.221,0.325
1959,34,0.183,0.337
1959,35,0.136,0.338
1959,36,0.206,0.323
1959,37,0.127,0.357
1959,38,0.139,0.381
1959,39,0.189,0.371
1959,40,0.194,0.294
1959,41,0.114,0.384
1959,42,0.229,0.286
1959,43,0.148,0.335
1959,44,0.155,0.31
1959,45,0.106,0.304
1959,46,0.156,0.305
1959,47,0.053,0.403
1959,48,0.112,0.365
1959,49,0.084,0.305
1959,50,0.191,0.172
1959,51,0.149,0.321
1959,52,0.143,0.343
1960,1,0.094,0.354
1960,2,0.184,0.316
1960,3,0.205,0.292
1960,4,0.206,0.305
1960,5,0.191,0.294
1960,6,0.195,0.289
1960,7,0.179,0.301
1960,8,0.272,0.304
1960,9,0.203,0.306
1960,10,0.165,0.405
1960,11,0.138,0.344
1960,12,0.216,0.353
1960,13,0.132,0.383
1960,14,0.12,0.349
1960,15,0.083,0.374
1960,16,0.118,0.411
1960,17,0.125,0.287
1960,18,0.109,0.42
1960,19,0.119,0.47
1960,20,0.154,0.354
1960,21,0.122,0.392
1960,22,0.126,0.421
1960,23,0.126,0.435
1960,24,0.13,0.424
1960,25,0.158,0.344
1960,26,0.141,0.369
