time_decimal,ppm
1975,330.75
1975.084932,331.46
1975.161644,331.88
1975.246575,333.18
1975.328767,333.95
1975.413699,333.48
1975.49589,332.04
1975.580822,329.92
1975.665753,328.48
1975.747945,328.45
1975.832877,329.24
1975.915068,330.59
1976,331.65
1976.084699,332.76
1976.163934,333.54
1976.248634,334.66
1976.330601,334.77
1976.415301,334.21
1976.497268,332.85
1976.581967,330.72
1976.666667,328.88
1976.748634,328.71
1976.833333,330.23
1976.915301,331.68
1977,332.66
1977.084932,333.18
1977.161644,334.97
1977.246575,336.19
1977.328767,336.92
1977.413699,336.14
1977.49589,334.77
1977.580822,332.62
1977.665753,331.27
1977.747945,331.28
1977.832877,332.42
1977.915068,333.63
1978,334.98
1978.084932,335.26
1978.161644,336.65
1978.246575,337.73
1978.328767,338.02
1978.413699,337.95
1978.49589,336.31
1978.580822,334.65
1978.665753,332.35
1978.747945,332.38
1978.832877,333.75
1978.915068,334.95
1979,336.11
1979.084932,336.71
1979.161644,338.3
1979.246575,339.06
1979.328767,339.23
1979.413699,339.34
1979.49589,337.52
1979.580822,335.74
1979.665753,333.9
1979.747945,334.21
1979.832877,335.34
1979.915068,336.74
1980,337.9
1980.084699,338.37
1980.163934,340.04
1980.248634,340.95
1980.330601,341.47
1980.415301,341.36
1980.497268,339.26
1980.581967,337.76
1980.666667,336.19
1980.748634,336.17
1980.833333,337.29
1980.915301,338.46
1981,339.28
1981.084932,340.55
1981.161644,341.64
1981.246575,342.54
1981.328767,343.03
1981.413699,342.52
1981.49589,340.82
1981.580822,338.54
1981.665753,336.96
1981.747945,337.06
1981.832877,338.52
1981.915068,339.85
1982,340.98
1982.084932,341.73
1982.161644,342.65
1982.246575,343.96
1982.328767,344.63
1982.413699,343.78
1982.49589,342.38
1982.580822,340.17
1982.665753,338.25
1982.747945,338.29
1982.832877,339.62
1982.915068,340.89
1983,341.7
1983.084932,342.93
1983.161644,343.3
1983.246575,345.3
1983.328767,346.03
1983.413699,345.63
1983.49589,344.25
1983.580822,342.27
1983.665753,340.35
1983.747945,340.3
1983.832877,341.57
1983.915068,343.13
1984,344.1
1984.084699,344.81
1984.163934,345.45
1984.248634,347.32
1984.330601,347.63
1984.415301,346.94
1984.497268,345.61
1984.581967,343.56
1984.666667,341.37
1984.748634,341.63
1984.833333,342.98
1984.915301,344.75
1985,345.23
1985.084932,346.16
1985.161644,347.73
1985.246575,348.26
1985.328767,349.07
1985.413699,348.34
1985.49589,346.81
1985.580822,344.88
1985.665753,343.26
1985.747945,343.16
1985.832877,344.53
1985.915068,345.93
1986,346.57
1986.084932,347.28
1986.161644,348.04
1986.246575,349.83
1986.328767,350.44
1986.413699,349.94
1986.49589,348.21
1986.580822,346.09
1986.665753,345.12
1986.747945,344.47
1986.832877,345.98
1986.915068,347.14
1987,348.5
1987.084932,348.72
1987.161644,349.72
1987.246575,351.34
1987.328767,352.07
1987.413699,351.6
1987.49589,350.28
1987.580822,347.95
1987.665753,346.47
1987.747945,346.64
1987.832877,347.99
