Year,Month,Sales
1965,January,154
1965,February,96
1965,March,73
1965,April,49
1965,May,36
1965,June,59
1965,July,95
1965,August,169
1965,September,210
1965,October,278
1965,November,298
1965,December,245
1966,January,200
1966,February,118
1966,March,90
1966,April,79
1966,May,78
1966,June,91
1966,July,167
1966,August,169
1966,September,289
1966,October,347
1966,November,375
1966,December,203
1967,January,223
1967,February,104
1967,March,107
1967,April,85
1967,May,75
1967,June,99
1967,July,135
1967,August,211
1967,September,335
1967,October,460
1967,November,488
1967,December,326
1968,January,346
1968,February,261
1968,March,224
1968,April,141
1968,May,148
1968,June,145
1968,July,223
1968,August,272
1968,September,445
1968,October,560
1968,November,612
1968,December,467
1969,January,518
1969,February,404
1969,March,300
1969,April,210
1969,May,196
1969,June,186
1969,July,247
1969,August,343
1969,September,464
1969,October,680
1969,November,711
1969,December,610
1970,January,613
1970,February,392
1970,March,273
1970,April,322
1970,May,189
1970,June,257
1970,July,324
1970,August,404
1970,September,677
1970,October,858
1970,November,895
1970,December,664
1971,January,628
1971,February,308
1971,March,324
1971,April,248
1971,May,272
