MkWh,Month,Time
6.6011,Jan,1970
6.55576,Feb,1970.0833
6.5181,Mar,1970.1667
6.42498,Apr,1970.25
6.43868,May,1970.3333
6.48173,Jun,1970.4167
6.71284,Jul,1970.5
6.64639,Aug,1970.5833
6.511,Sep,1970.6667
6.51021,Oct,1970.75
6.58769,Nov,1970.8333
6.61386,Dec,1970.9167
6.70224,Jan,1971
6.65245,Feb,1971.0833
6.58104,Mar,1971.1667
6.50932,Apr,1971.25
6.51981,May,1971.3333
6.64591,Jun,1971.4167
6.77194,Jul,1971.5
6.71382,Aug,1971.5833
6.60164,Sep,1971.6667
6.58158,Oct,1971.75
6.61455,Nov,1971.8333
6.70228,Dec,1971.9167
6.77956,Jan,1972
6.75018,Feb,1972.0833
6.66494,Mar,1972.1667
6.56197,Apr,1972.25
6.57278,May,1972.3333
6.85069,Jun,1972.4167
6.76831,Jul,1972.5
6.75746,Aug,1972.5833
6.71462,Sep,1972.6667
6.64869,Oct,1972.75
6.70601,Nov,1972.8333
6.75843,Dec,1972.9167
6.85132,Jan,1973
6.85432,Feb,1973.0833
6.75464,Mar,1973.1667
6.69287,Apr,1973.25
6.71209,May,1973.3333
6.79801,Jun,1973.4167
6.90086,Jul,1973.5
6.95501,Aug,1973.5833
6.78619,Sep,1973.6667
6.77511,Oct,1973.75
6.84878,Nov,1973.8333
6.96915,Dec,1973.9167
6.94209,Jan,1974
6.90815,Feb,1974.0833
6.79581,Mar,1974.1667
6.77106,Apr,1974.25
6.7663,May,1974.3333
6.92218,Jun,1974.4167
7.02025,Jul,1974.5
7.02929,Aug,1974.5833
6.81991,Sep,1974.6667
6.80915,Oct,1974.75
6.88408,Nov,1974.8333
6.9129,Dec,1974.9167
6.97866,Jan,1975
6.94202,Feb,1975.0833
6.87909,Mar,1975.1667
6.79965,Apr,1975.25
6.81259,May,1975.3333
6.89272,Jun,1975.4167
7.16972,Jul,1975.5
6.93213,Aug,1975.5833
6.82103,Sep,1975.6667
6.85578,Oct,1975.75
6.95368,Nov,1975.8333
6.9952,Dec,1975.9167
7.0458,Jan,1976
7.0625,Feb,1976.0833
6.99577,Mar,1976.1667
6.89578,Apr,1976.25
6.86417,May,1976.3333
6.99927,Jun,1976.4167
7.16027,Jul,1976.5
7.11666,Aug,1976.5833
6.89878,Sep,1976.6667
6.93408,Oct,1976.75
6.97616,Nov,1976.8333
7.07897,Dec,1976.9167
7.14766,Jan,1977
7.05902,Feb,1977.0833
7.00532,Mar,1977.1667
6.89115,Apr,1977.25
6.89297,May,1977.3333
7.01257,Jun,1977.4167
7.19739,Jul,1977.5
7.09346,Aug,1977.5833
6.9631,Sep,1977.6667
7.02267,Oct,1977.75
7.09898,Nov,1977.8333
7.19206,Dec,1977.9167
7.29256,Jan,1978
7.13518,Feb,1978.0833
7.00859,Mar,1978.1667
6.95518,Apr,1978.25
7.01947,May,1978.3333
7.13228,Jun,1978.4167
7.29528,Jul,1978.5
7.09632,Aug,1978.5833
7.02693,Sep,1978.6667
7.0162,Oct,1978.75
7.11002,Nov,1978.8333
7.23462,Dec,1978.9167
7.32306,Jan,1979
7.30641,Feb,1979.0833
7.17916,Mar,1979.1667
7.02096,Apr,1979.25
7.04144,May,1979.3333
7.17437,Jun,1979.4167
7.26813,Jul,1979.5
7.244,Aug,1979.5833
7.18675,Sep,1979.6667
7.12274,Oct,1979.75
7.17493,Nov,1979.8333
7.27526,Dec,1979.9167
