ppm,Month,Time
315.42,Jan,1959.00
316.32,Feb,1959.08
316.49,Mar,1959.17
317.56,Apr,1959.25
318.13,May,1959.33
318,Jun,1959.42
316.39,Jul,1959.50
314.66,Aug,1959.58
313.68,Sep,1959.67
313.18,Oct,1959.75
314.66,Nov,1959.83
315.43,Dec,1959.92
316.27,Jan,1960.00
316.81,Feb,1960.08
317.42,Mar,1960.17
318.87,Apr,1960.25
319.87,May,1960.33
319.43,Jun,1960.42
318.01,Jul,1960.50
315.75,Aug,1960.58
314,Sep,1960.67
313.68,Oct,1960.75
314.84,Nov,1960.83
316.03,Dec,1960.92
316.73,Jan,1961.00
317.54,Feb,1961.08
318.38,Mar,1961.17
319.31,Apr,1961.25
320.42,May,1961.33
319.61,Jun,1961.42
318.42,Jul,1961.50
316.64,Aug,1961.58
314.83,Sep,1961.67
315.15,Oct,1961.75
315.95,Nov,1961.83
316.85,Dec,1961.92
317.78,Jan,1962.00
318.4,Feb,1962.08
319.53,Mar,1962.17
320.41,Apr,1962.25
320.85,May,1962.33
320.45,Jun,1962.42
319.44,Jul,1962.50
317.25,Aug,1962.58
316.12,Sep,1962.67
315.27,Oct,1962.75
316.53,Nov,1962.83
317.53,Dec,1962.92
318.58,Jan,1963.00
318.92,Feb,1963.08
319.7,Mar,1963.17
321.22,Apr,1963.25
322.08,May,1963.33
321.31,Jun,1963.42
319.58,Jul,1963.50
317.61,Aug,1963.58
316.05,Sep,1963.67
315.83,Oct,1963.75
316.91,Nov,1963.83
318.2,Dec,1963.92
319.41,Jan,1964.00
320.07,Feb,1964.08
320.74,Mar,1964.17
321.4,Apr,1964.25
322.06,May,1964.33
321.73,Jun,1964.42
320.27,Jul,1964.50
318.54,Aug,1964.58
316.54,Sep,1964.67
316.71,Oct,1964.75
317.53,Nov,1964.83
318.55,Dec,1964.92
319.27,Jan,1965.00
320.28,Feb,1965.08
320.73,Mar,1965.17
321.97,Apr,1965.25
322,May,1965.33
321.71,Jun,1965.42
321.05,Jul,1965.50
318.71,Aug,1965.58
317.65,Sep,1965.67
317.14,Oct,1965.75
318.71,Nov,1965.83
319.25,Dec,1965.92
320.46,Jan,1966.00
321.43,Feb,1966.08
322.22,Mar,1966.17
323.54,Apr,1966.25
323.91,May,1966.33
323.59,Jun,1966.42
322.26,Jul,1966.50
320.21,Aug,1966.58
318.48,Sep,1966.67
317.94,Oct,1966.75
319.63,Nov,1966.83
320.87,Dec,1966.92
322.17,Jan,1967.00
322.34,Feb,1967.08
322.88,Mar,1967.17
324.25,Apr,1967.25
324.83,May,1967.33
323.93,Jun,1967.42
322.39,Jul,1967.50
320.76,Aug,1967.58
319.1,Sep,1967.67
319.23,Oct,1967.75
320.56,Nov,1967.83
321.8,Dec,1967.92
322.4,Jan,1968.00
322.99,Feb,1968.08
323.73,Mar,1968.17
324.86,Apr,1968.25
325.41,May,1968.33
325.19,Jun,1968.42
323.97,Jul,1968.50
321.92,Aug,1968.58
320.1,Sep,1968.67
319.96,Oct,1968.75
320.97,Nov,1968.83
322.48,Dec,1968.92
323.52,Jan,1969.00
323.89,Feb,1969.08
325.04,Mar,1969.17
326.01,Apr,1969.25
326.67,May,1969.33
325.96,Jun,1969.42
325.13,Jul,1969.50
322.9,Aug,1969.58
321.61,Sep,1969.67
321.01,Oct,1969.75
322.08,Nov,1969.83
323.37,Dec,1969.92
324.34,Jan,1970.00
325.3,Feb,1970.08
326.29,Mar,1970.17
327.54,Apr,1970.25
327.54,May,1970.33
327.21,Jun,1970.42
325.98,Jul,1970.50
324.42,Aug,1970.58
322.91,Sep,1970.67
322.9,Oct,1970.75
323.85,Nov,1970.83
324.96,Dec,1970.92
326.01,Jan,1971.00
326.51,Feb,1971.08
327.01,Mar,1971.17
327.62,Apr,1971.25
328.76,May,1971.33
328.4,Jun,1971.42
327.2,Jul,1971.50
325.28,Aug,1971.58
323.2,Sep,1971.67
323.4,Oct,1971.75
324.64,Nov,1971.83
325.85,Dec,1971.92
326.6,Jan,1972.00
327.47,Feb,1972.08
327.58,Mar,1972.17
329.56,Apr,1972.25
329.9,May,1972.33
328.92,Jun,1972.42
327.89,Jul,1972.50
326.17,Aug,1972.58
324.68,Sep,1972.67
325.04,Oct,1972.75
326.34,Nov,1972.83
327.39,Dec,1972.92
328.37,Jan,1973.00
329.4,Feb,1973.08
330.14,Mar,1973.17
331.33,Apr,1973.25
332.31,May,1973.33
331.9,Jun,1973.42
330.7,Jul,1973.50
329.15,Aug,1973.58
327.34,Sep,1973.67
327.02,Oct,1973.75
327.99,Nov,1973.83
328.48,Dec,1973.92
329.18,Jan,1974.00
330.55,Feb,1974.08
331.32,Mar,1974.17
332.48,Apr,1974.25
332.92,May,1974.33
332.08,Jun,1974.42
331.02,Jul,1974.50
329.24,Aug,1974.58
327.28,Sep,1974.67
327.21,Oct,1974.75
328.29,Nov,1974.83
